[2026-01-14 14:17:03,135] INFO in logging_config: Logging system initialized
[2026-01-15 08:25:30,668] INFO in logging_config: Logging system initialized
[2026-01-15 08:25:30,922] INFO in app: Database tables created
[2026-01-15 08:25:38,149] INFO in app: Application initialized in development mode
[2026-01-15 08:25:38,149] INFO in run: ============================================================
[2026-01-15 08:25:38,149] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 08:25:38,149] INFO in run: ============================================================
[2026-01-15 08:25:38,149] INFO in run: Environment: development
[2026-01-15 08:25:38,149] INFO in run: Debug Mode: True
[2026-01-15 08:25:38,149] INFO in run: Model Version: 1.0.0
[2026-01-15 08:25:38,149] INFO in run: Model Loaded: True
[2026-01-15 08:25:38,161] INFO in run: Database: Connected
[2026-01-15 08:25:38,162] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 08:25:38,163] INFO in run: ============================================================
[2026-01-15 08:25:38,163] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 08:25:38,857] INFO in logging_config: Logging system initialized
[2026-01-15 08:25:39,052] INFO in app: Database tables created
[2026-01-15 08:25:45,302] INFO in app: Application initialized in development mode
[2026-01-15 08:25:45,310] INFO in run: ============================================================
[2026-01-15 08:25:45,310] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 08:25:45,310] INFO in run: ============================================================
[2026-01-15 08:25:45,310] INFO in run: Environment: development
[2026-01-15 08:25:45,310] INFO in run: Debug Mode: True
[2026-01-15 08:25:45,310] INFO in run: Model Version: 1.0.0
[2026-01-15 08:25:45,310] INFO in run: Model Loaded: True
[2026-01-15 08:25:45,310] INFO in run: Database: Connected
[2026-01-15 08:25:45,316] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 08:25:45,317] INFO in run: ============================================================
[2026-01-15 08:25:45,317] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 08:30:37,548] INFO in logging_config: Logging system initialized
[2026-01-15 08:30:37,742] INFO in app: Database tables created
[2026-01-15 08:30:44,398] INFO in app: Application initialized in development mode
[2026-01-15 08:30:44,399] INFO in run: ============================================================
[2026-01-15 08:30:44,400] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 08:30:44,401] INFO in run: ============================================================
[2026-01-15 08:30:44,402] INFO in run: Environment: development
[2026-01-15 08:30:44,403] INFO in run: Debug Mode: True
[2026-01-15 08:30:44,404] INFO in run: Model Version: 1.0.0
[2026-01-15 08:30:44,406] INFO in run: Model Loaded: True
[2026-01-15 08:30:44,407] INFO in run: Database: Connected
[2026-01-15 08:30:44,408] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 08:30:44,408] INFO in run: ============================================================
[2026-01-15 08:30:44,409] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 08:30:45,108] INFO in logging_config: Logging system initialized
[2026-01-15 08:30:45,282] INFO in app: Database tables created
[2026-01-15 08:30:52,040] INFO in app: Application initialized in development mode
[2026-01-15 08:30:52,042] INFO in run: ============================================================
[2026-01-15 08:30:52,046] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 08:30:52,051] INFO in run: ============================================================
[2026-01-15 08:30:52,053] INFO in run: Environment: development
[2026-01-15 08:30:52,058] INFO in run: Debug Mode: True
[2026-01-15 08:30:52,058] INFO in run: Model Version: 1.0.0
[2026-01-15 08:30:52,062] INFO in run: Model Loaded: True
[2026-01-15 08:30:52,065] INFO in run: Database: Connected
[2026-01-15 08:30:52,067] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 08:30:52,070] INFO in run: ============================================================
[2026-01-15 08:30:52,073] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 08:50:06,033] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 08:51:02,880] INFO in logging_config: Logging system initialized
[2026-01-15 08:51:02,971] INFO in app: Database tables created
[2026-01-15 08:51:10,144] INFO in app: Application initialized in development mode
[2026-01-15 08:51:10,144] INFO in run: ============================================================
[2026-01-15 08:51:10,144] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 08:51:10,144] INFO in run: ============================================================
[2026-01-15 08:51:10,144] INFO in run: Environment: development
[2026-01-15 08:51:10,144] INFO in run: Debug Mode: True
[2026-01-15 08:51:10,144] INFO in run: Model Version: 1.0.0
[2026-01-15 08:51:10,156] INFO in run: Model Loaded: True
[2026-01-15 08:51:10,158] INFO in run: Database: Connected
[2026-01-15 08:51:10,158] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 08:51:10,159] INFO in run: ============================================================
[2026-01-15 08:51:10,160] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 08:54:23,131] INFO in logging_config: Logging system initialized
[2026-01-15 08:54:23,209] INFO in app: Database tables created
[2026-01-15 08:54:30,764] INFO in app: Application initialized in development mode
[2026-01-15 08:54:30,765] INFO in run: ============================================================
[2026-01-15 08:54:30,766] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 08:54:30,768] INFO in run: ============================================================
[2026-01-15 08:54:30,769] INFO in run: Environment: development
[2026-01-15 08:54:30,771] INFO in run: Debug Mode: True
[2026-01-15 08:54:30,772] INFO in run: Model Version: 1.0.0
[2026-01-15 08:54:30,774] INFO in run: Model Loaded: True
[2026-01-15 08:54:30,775] INFO in run: Database: Connected
[2026-01-15 08:54:30,776] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 08:54:30,778] INFO in run: ============================================================
[2026-01-15 08:54:30,779] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:10:07,368] INFO in logging_config: Logging system initialized
[2026-01-15 09:10:07,479] INFO in app: Database tables created
[2026-01-15 09:10:14,298] INFO in app: Application initialized in development mode
[2026-01-15 09:10:14,298] INFO in run: ============================================================
[2026-01-15 09:10:14,298] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 09:10:14,298] INFO in run: ============================================================
[2026-01-15 09:10:14,298] INFO in run: Environment: development
[2026-01-15 09:10:14,298] INFO in run: Debug Mode: True
[2026-01-15 09:10:14,298] INFO in run: Model Version: 1.0.0
[2026-01-15 09:10:14,298] INFO in run: Model Loaded: True
[2026-01-15 09:10:14,298] INFO in run: Database: Connected
[2026-01-15 09:10:14,298] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 09:10:14,313] INFO in run: ============================================================
[2026-01-15 09:10:14,314] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:10:15,000] INFO in logging_config: Logging system initialized
[2026-01-15 09:10:15,179] INFO in app: Database tables created
[2026-01-15 09:10:21,794] INFO in app: Application initialized in development mode
[2026-01-15 09:10:21,810] INFO in run: ============================================================
[2026-01-15 09:10:21,810] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 09:10:21,810] INFO in run: ============================================================
[2026-01-15 09:10:21,810] INFO in run: Environment: development
[2026-01-15 09:10:21,810] INFO in run: Debug Mode: True
[2026-01-15 09:10:21,810] INFO in run: Model Version: 1.0.0
[2026-01-15 09:10:21,810] INFO in run: Model Loaded: True
[2026-01-15 09:10:21,816] INFO in run: Database: Connected
[2026-01-15 09:10:21,816] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 09:10:21,817] INFO in run: ============================================================
[2026-01-15 09:10:21,817] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:10:53,293] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 09:11:12,388] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 09:38:24,372] INFO in logging_config: Logging system initialized
[2026-01-15 09:38:24,442] INFO in app: Database tables created
[2026-01-15 09:38:31,005] INFO in app: Application initialized in development mode
[2026-01-15 09:38:31,005] INFO in run: ============================================================
[2026-01-15 09:38:31,005] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 09:38:31,017] INFO in run: ============================================================
[2026-01-15 09:38:31,017] INFO in run: Environment: development
[2026-01-15 09:38:31,017] INFO in run: Debug Mode: True
[2026-01-15 09:38:31,017] INFO in run: Model Version: 1.0.0
[2026-01-15 09:38:31,021] INFO in run: Model Loaded: True
[2026-01-15 09:38:31,022] INFO in run: Database: Connected
[2026-01-15 09:38:31,023] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 09:38:31,024] INFO in run: ============================================================
[2026-01-15 09:38:31,025] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:38:31,752] INFO in logging_config: Logging system initialized
[2026-01-15 09:38:31,826] INFO in app: Database tables created
[2026-01-15 09:38:38,731] INFO in app: Application initialized in development mode
[2026-01-15 09:38:38,731] INFO in run: ============================================================
[2026-01-15 09:38:38,731] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 09:38:38,747] INFO in run: ============================================================
[2026-01-15 09:38:38,747] INFO in run: Environment: development
[2026-01-15 09:38:38,747] INFO in run: Debug Mode: True
[2026-01-15 09:38:38,747] INFO in run: Model Version: 1.0.0
[2026-01-15 09:38:38,751] INFO in run: Model Loaded: True
[2026-01-15 09:38:38,751] INFO in run: Database: Connected
[2026-01-15 09:38:38,752] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 09:38:38,753] INFO in run: ============================================================
[2026-01-15 09:38:38,754] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:38:58,381] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 09:39:59,530] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 09:47:06,927] INFO in logging_config: Logging system initialized
[2026-01-15 09:47:07,003] INFO in app: Database tables created
[2026-01-15 09:47:13,851] INFO in app: Application initialized in development mode
[2026-01-15 09:47:13,851] INFO in run: ============================================================
[2026-01-15 09:47:13,851] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 09:47:13,854] INFO in run: ============================================================
[2026-01-15 09:47:13,854] INFO in run: Environment: development
[2026-01-15 09:47:13,854] INFO in run: Debug Mode: True
[2026-01-15 09:47:13,854] INFO in run: Model Version: 1.0.0
[2026-01-15 09:47:13,858] INFO in run: Model Loaded: True
[2026-01-15 09:47:13,859] INFO in run: Database: Connected
[2026-01-15 09:47:13,860] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 09:47:13,860] INFO in run: ============================================================
[2026-01-15 09:47:13,862] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:47:14,579] INFO in logging_config: Logging system initialized
[2026-01-15 09:47:14,653] INFO in app: Database tables created
[2026-01-15 09:47:20,717] INFO in app: Application initialized in development mode
[2026-01-15 09:47:20,717] INFO in run: ============================================================
[2026-01-15 09:47:20,717] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 09:47:20,722] INFO in run: ============================================================
[2026-01-15 09:47:20,722] INFO in run: Environment: development
[2026-01-15 09:47:20,722] INFO in run: Debug Mode: True
[2026-01-15 09:47:20,726] INFO in run: Model Version: 1.0.0
[2026-01-15 09:47:20,727] INFO in run: Model Loaded: True
[2026-01-15 09:47:20,728] INFO in run: Database: Connected
[2026-01-15 09:47:20,729] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 09:47:20,731] INFO in run: ============================================================
[2026-01-15 09:47:20,733] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:47:43,941] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 09:47:48,638] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 09:47:58,403] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 09:50:58,512] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 09:56:43,859] INFO in logging_config: Logging system initialized
[2026-01-15 09:56:43,935] INFO in app: Database tables created
[2026-01-15 09:56:50,780] INFO in app: Application initialized in development mode
[2026-01-15 09:56:50,780] INFO in run: ============================================================
[2026-01-15 09:56:50,780] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 09:56:50,780] INFO in run: ============================================================
[2026-01-15 09:56:50,780] INFO in run: Environment: development
[2026-01-15 09:56:50,780] INFO in run: Debug Mode: True
[2026-01-15 09:56:50,780] INFO in run: Model Version: 1.0.0
[2026-01-15 09:56:50,787] INFO in run: Model Loaded: True
[2026-01-15 09:56:50,788] INFO in run: Database: Connected
[2026-01-15 09:56:50,788] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 09:56:50,790] INFO in run: ============================================================
[2026-01-15 09:56:50,790] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:56:51,469] INFO in logging_config: Logging system initialized
[2026-01-15 09:56:51,538] INFO in app: Database tables created
[2026-01-15 09:56:58,290] INFO in app: Application initialized in development mode
[2026-01-15 09:56:58,290] INFO in run: ============================================================
[2026-01-15 09:56:58,290] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 09:56:58,290] INFO in run: ============================================================
[2026-01-15 09:56:58,290] INFO in run: Environment: development
[2026-01-15 09:56:58,290] INFO in run: Debug Mode: True
[2026-01-15 09:56:58,290] INFO in run: Model Version: 1.0.0
[2026-01-15 09:56:58,290] INFO in run: Model Loaded: True
[2026-01-15 09:56:58,290] INFO in run: Database: Connected
[2026-01-15 09:56:58,290] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 09:56:58,301] INFO in run: ============================================================
[2026-01-15 09:56:58,301] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 09:57:45,827] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 10:06:48,579] INFO in logging_config: Logging system initialized
[2026-01-15 10:06:48,658] INFO in app: Database tables created
[2026-01-15 10:06:55,225] INFO in app: Application initialized in development mode
[2026-01-15 10:06:55,225] INFO in run: ============================================================
[2026-01-15 10:06:55,225] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:06:55,225] INFO in run: ============================================================
[2026-01-15 10:06:55,241] INFO in run: Environment: development
[2026-01-15 10:06:55,241] INFO in run: Debug Mode: True
[2026-01-15 10:06:55,241] INFO in run: Model Version: 1.0.0
[2026-01-15 10:06:55,241] INFO in run: Model Loaded: True
[2026-01-15 10:06:55,241] INFO in run: Database: Connected
[2026-01-15 10:06:55,241] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:06:55,241] INFO in run: ============================================================
[2026-01-15 10:06:55,241] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:06:56,027] INFO in logging_config: Logging system initialized
[2026-01-15 10:06:56,119] INFO in app: Database tables created
[2026-01-15 10:07:03,705] INFO in app: Application initialized in development mode
[2026-01-15 10:07:03,705] INFO in run: ============================================================
[2026-01-15 10:07:03,705] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:07:03,705] INFO in run: ============================================================
[2026-01-15 10:07:03,705] INFO in run: Environment: development
[2026-01-15 10:07:03,705] INFO in run: Debug Mode: True
[2026-01-15 10:07:03,705] INFO in run: Model Version: 1.0.0
[2026-01-15 10:07:03,718] INFO in run: Model Loaded: True
[2026-01-15 10:07:03,719] INFO in run: Database: Connected
[2026-01-15 10:07:03,720] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:07:03,721] INFO in run: ============================================================
[2026-01-15 10:07:03,723] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:07:29,016] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 10:08:28,761] INFO in logging_config: Logging system initialized
[2026-01-15 10:08:28,830] INFO in app: Database tables created
[2026-01-15 10:08:35,716] INFO in app: Application initialized in development mode
[2026-01-15 10:08:35,716] INFO in run: ============================================================
[2026-01-15 10:08:35,716] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:08:35,716] INFO in run: ============================================================
[2026-01-15 10:08:35,716] INFO in run: Environment: development
[2026-01-15 10:08:35,716] INFO in run: Debug Mode: True
[2026-01-15 10:08:35,731] INFO in run: Model Version: 1.0.0
[2026-01-15 10:08:35,732] INFO in run: Model Loaded: True
[2026-01-15 10:08:35,733] INFO in run: Database: Connected
[2026-01-15 10:08:35,734] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:08:35,734] INFO in run: ============================================================
[2026-01-15 10:08:35,735] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:08:36,427] INFO in logging_config: Logging system initialized
[2026-01-15 10:08:36,519] INFO in app: Database tables created
[2026-01-15 10:08:43,268] INFO in app: Application initialized in development mode
[2026-01-15 10:08:43,268] INFO in run: ============================================================
[2026-01-15 10:08:43,278] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:08:43,278] INFO in run: ============================================================
[2026-01-15 10:08:43,278] INFO in run: Environment: development
[2026-01-15 10:08:43,278] INFO in run: Debug Mode: True
[2026-01-15 10:08:43,283] INFO in run: Model Version: 1.0.0
[2026-01-15 10:08:43,284] INFO in run: Model Loaded: True
[2026-01-15 10:08:43,285] INFO in run: Database: Connected
[2026-01-15 10:08:43,286] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:08:43,287] INFO in run: ============================================================
[2026-01-15 10:08:43,288] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:09:00,737] ERROR in routes: Prediction error: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
[2026-01-15 10:17:45,910] INFO in logging_config: Logging system initialized
[2026-01-15 10:17:45,981] INFO in app: Database tables created
[2026-01-15 10:17:53,492] INFO in app: Application initialized in development mode
[2026-01-15 10:17:53,493] INFO in run: ============================================================
[2026-01-15 10:17:53,493] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:17:53,493] INFO in run: ============================================================
[2026-01-15 10:17:53,493] INFO in run: Environment: development
[2026-01-15 10:17:53,493] INFO in run: Debug Mode: True
[2026-01-15 10:17:53,493] INFO in run: Model Version: 1.0.0
[2026-01-15 10:17:53,493] INFO in run: Model Loaded: True
[2026-01-15 10:17:53,493] INFO in run: Database: Connected
[2026-01-15 10:17:53,493] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:17:53,493] INFO in run: ============================================================
[2026-01-15 10:17:53,493] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:19:06,720] INFO in logging_config: Logging system initialized
[2026-01-15 10:19:06,826] INFO in app: Database tables created
[2026-01-15 10:19:13,358] INFO in app: Application initialized in development mode
[2026-01-15 10:19:13,358] INFO in run: ============================================================
[2026-01-15 10:19:13,358] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:19:13,358] INFO in run: ============================================================
[2026-01-15 10:19:13,358] INFO in run: Environment: development
[2026-01-15 10:19:13,358] INFO in run: Debug Mode: True
[2026-01-15 10:19:13,358] INFO in run: Model Version: 1.0.0
[2026-01-15 10:19:13,358] INFO in run: Model Loaded: True
[2026-01-15 10:19:13,367] INFO in run: Database: Connected
[2026-01-15 10:19:13,368] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:19:13,368] INFO in run: ============================================================
[2026-01-15 10:19:13,369] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:21:21,186] INFO in logging_config: Logging system initialized
[2026-01-15 10:21:21,252] INFO in app: Database tables created
[2026-01-15 10:21:27,528] INFO in app: Application initialized in development mode
[2026-01-15 10:21:27,528] INFO in run: ============================================================
[2026-01-15 10:21:27,528] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:21:27,528] INFO in run: ============================================================
[2026-01-15 10:21:27,528] INFO in run: Environment: development
[2026-01-15 10:21:27,535] INFO in run: Debug Mode: True
[2026-01-15 10:21:27,536] INFO in run: Model Version: 1.0.0
[2026-01-15 10:21:27,536] INFO in run: Model Loaded: True
[2026-01-15 10:21:27,537] INFO in run: Database: Connected
[2026-01-15 10:21:27,538] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:21:27,538] INFO in run: ============================================================
[2026-01-15 10:21:27,540] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:21:28,189] INFO in logging_config: Logging system initialized
[2026-01-15 10:21:28,258] INFO in app: Database tables created
[2026-01-15 10:21:34,358] INFO in app: Application initialized in development mode
[2026-01-15 10:21:34,358] INFO in run: ============================================================
[2026-01-15 10:21:34,358] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:21:34,358] INFO in run: ============================================================
[2026-01-15 10:21:34,358] INFO in run: Environment: development
[2026-01-15 10:21:34,358] INFO in run: Debug Mode: True
[2026-01-15 10:21:34,358] INFO in run: Model Version: 1.0.0
[2026-01-15 10:21:34,358] INFO in run: Model Loaded: True
[2026-01-15 10:21:34,366] INFO in run: Database: Connected
[2026-01-15 10:21:34,368] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:21:34,369] INFO in run: ============================================================
[2026-01-15 10:21:34,370] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:22:03,177] ERROR in routes: Prediction error: 'Config' object has no attribute 'HIGH_RISK_THRESHOLD'
[2026-01-15 10:34:04,499] INFO in logging_config: Logging system initialized
[2026-01-15 10:34:04,564] INFO in app: Database tables created
[2026-01-15 10:34:11,322] INFO in app: Application initialized in development mode
[2026-01-15 10:34:11,322] INFO in run: ============================================================
[2026-01-15 10:34:11,322] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:34:11,322] INFO in run: ============================================================
[2026-01-15 10:34:11,322] INFO in run: Environment: development
[2026-01-15 10:34:11,322] INFO in run: Debug Mode: True
[2026-01-15 10:34:11,336] INFO in run: Model Version: 1.0.0
[2026-01-15 10:34:11,338] INFO in run: Model Loaded: True
[2026-01-15 10:34:11,339] INFO in run: Database: Connected
[2026-01-15 10:34:11,341] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:34:11,342] INFO in run: ============================================================
[2026-01-15 10:34:11,344] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 10:34:12,103] INFO in logging_config: Logging system initialized
[2026-01-15 10:34:12,224] INFO in app: Database tables created
[2026-01-15 10:34:19,968] INFO in app: Application initialized in development mode
[2026-01-15 10:34:19,968] INFO in run: ============================================================
[2026-01-15 10:34:19,968] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 10:34:19,968] INFO in run: ============================================================
[2026-01-15 10:34:19,968] INFO in run: Environment: development
[2026-01-15 10:34:19,968] INFO in run: Debug Mode: True
[2026-01-15 10:34:19,981] INFO in run: Model Version: 1.0.0
[2026-01-15 10:34:19,982] INFO in run: Model Loaded: True
[2026-01-15 10:34:19,982] INFO in run: Database: Connected
[2026-01-15 10:34:19,983] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 10:34:19,984] INFO in run: ============================================================
